# Defects that escaped a check, and the primitive that now catches the class.
# One row per escape. Add a row when something gets past a gate; the suite in
# check_selftest.sh gains a control and that class cannot recur silently.
#
# date	primitive	what the check reported	what was true
2026-09-10	run_checked	clean Godot build reported as failure	$PIPESTATUS is $pipestatus in zsh; rc came from nothing
2026-09-10	run_checked	cherry-pick reported RESULT: clean	`if git cherry-pick | tail` tested tail's exit, not git's
2026-09-10	run_checked	three repo pushes reported pushed	one 403'd; the loop echoed a fixed string
2026-09-10	require_nonempty	CI watcher reported ALL SETTLED	0 checks returned because the token had expired
2026-09-10	require_nonempty	token renewal control reported behaved	the new token was empty; only string inequality was tested
2026-09-10	require_file	egit merge_base reported absent	grepped egit.erl; the module is git.erl
2026-09-10	require_corpus	no SERIALS entry names these RFDs	grepped SERIALS.exs; 2235 is in SERIALS-vsekai-fabric.exs
2026-09-10	require_engaged	ar response-file control reported behaved	400 objects made 30KB against a 32768-byte threshold
2026-09-10	require_precondition	git-assembler comment controls all agreed	ran outside a git repo; it exited before parsing
2026-09-10	expect_fail	scu_build=yes shipped as an ARG_MAX fix	godot-cpp has no such variable; SCons ignored it
2026-09-10	run_checked	commit reported success with a mangled message	backticks in a double-quoted -m were evaluated away
